,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.04380425054129865,-0.03578914961156606,0.344463839132114,-0.10475867652267548,0.9165673009193471,
FO538757.3,4.170761861183201,0.18107414772744365,0.47194355147121436,-0.34834396144379676,0.727581882293782,0.8920781229437319
FO538757.2,24.825794041658106,-0.22434147093826382,0.1236139526270663,-2.0753450058779177,0.03795457111061036,0.12311350188050735
AP006222.2,0.14889547912336654,-0.2761477352755608,0.4308165692611517,-0.9102897698237504,0.3626697122572725,
RP4-669L17.10,0.10332576874094411,-0.23116858600007234,0.38150670241390583,-0.8068568474151573,0.4197489629166621,
RP5-857K21.4,0.10844207478248717,-0.05878718918543699,0.3455705520262876,-0.10253633502029154,0.9183309736471335,
RP11-206L10.9,0.40242652250271976,-0.014529235669101623,0.22222983188427772,-0.20708571280186858,0.8359429197857691,0.9478010155195317
FAM87B,0.023927807155223284,-0.09728714072676825,0.3535869162323805,-0.21521611886400835,0.8295988243374162,
LINC00115,1.6669163299712675,-1.683806538611092,0.17293332216744842,-9.252581840684632,2.1913430276377064e-20,2.659012152119387e-18
FAM41C,0.016659694518304315,-0.04397488538351213,0.3523554067999321,-0.08658143941626244,0.9310042196895705,
RP11-54O7.1,0.006313913101147678,0.0017272995034969157,0.39102941873152525,0.025336644128076357,0.9797864455176293,
SAMD11,0.004119712957971473,0.0028176451702812853,0.43182868823049836,0.02100344193675762,0.9832429100138841,
NOC2L,11.578679248529522,-0.07734094163122886,0.08465049799726163,-0.9614688062384563,0.3363165025777778,0.5826063420581676
KLHL17,0.4811873777182167,-0.0766887783811008,0.18124574180259573,-0.548657562802589,0.5832404744764742,0.8074390603490029
PLEKHN1,0.1996097579212665,0.11583675264179358,0.28791058054664953,0.3712270395467066,0.710468435094877,0.8837386558335596
PERM1,0.006986322400905026,0.0019594766510383508,0.39305401705429044,0.02978874008445382,0.9762355388939689,
RP11-54O7.17,0.17019784256381543,-1.845603985063502,1.0955798510941497,-1.1656583511011305,0.24375260561218626,0.4758388108753243
HES4,1.2943588978830654,-0.12113275618373924,0.26666077043710046,-4.417946378885267,9.964313196269971e-06,0.00011579438503662175
ISG15,44.11419645268492,-0.007061544615865983,0.13306222529057682,-0.0426677275649718,0.9659664058026445,0.9922232719914861
RP11-54O7.11,0.0650455197237775,-0.28288690175922176,0.455370539030846,-0.6599543419250615,0.5092831298313304,
AGRN,0.3328345691267956,0.08866932709933714,0.2729544919117603,0.38483655450139337,0.7003585143860017,0.8797873405583446
RP11-54O7.18,0.0027829333590648907,0.002015489226331346,0.39732860900323064,0.023375268923748322,0.9813509321549728,
