ligand_complex,receptor_complex,source,target,resources,n_resources,mean_lrscore,max_lrscore,min_lrscore
C5,C5AR1,Tem/Trm cytotoxic T cells,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
C5,C5AR1,Tem/Trm cytotoxic T cells,Mast cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
C5,C5AR1,Tem/Trm cytotoxic T cells,Non-classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Late erythroid,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Late erythroid,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Late erythroid,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Late erythroid,Non-classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Late erythroid,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocyte precursor,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocyte precursor,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocyte precursor,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocyte precursor,Non-classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocyte precursor,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocyte precursor,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocytes/platelets,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocytes/platelets,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocytes/platelets,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocytes/platelets,Non-classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocytes/platelets,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
PROS1,AXL,Megakaryocytes/platelets,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,1.0,1.0,1.0
C5,C5AR1,CD16+ NK cells,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Mast cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Memory B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Naive B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Non-classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Plasma cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Regulatory T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,CD16+ NK cells,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
