source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CD16+ NK cells,CD16+ NK cells,ADGRE5,CD55,0.05985762,0.0,-0.14645453,0.05985843665947255,0.047462374,-0.09664195,,,
CD16+ NK cells,CD16+ NK cells,C1QA,CD33,-0.12078535,1.0,0.011666001,-0.12078084518785956,-8.593941,0.005105477,,,
CD16+ NK cells,CD16+ NK cells,C1QA,CD93,-0.095585845,1.0,0.008303396,-0.09558470836723297,-8.359819,-0.0077860486,,,
CD16+ NK cells,CD16+ NK cells,C1QA,CSPG4,-0.031944223,1.0,-0.00018889719,-0.03194198065519486,,-0.0004097041,,,
CD16+ NK cells,CD16+ NK cells,C1QB,CD33,-0.110173285,1.0,0.007954939,-0.11016933288631056,-20.58524,0.004967794,,,
CD16+ NK cells,CD16+ NK cells,C1QB,LRP1,-0.11589231,1.0,0.0084753195,-0.11588380931302653,-21.245968,-0.009208849,,,
CD16+ NK cells,CD16+ NK cells,C3,C5AR2,-0.04302381,1.0,0.0015222372,-0.04302722270155522,-28.68334,0.0014768746,,,
CD16+ NK cells,CD16+ NK cells,C3,CD19,-0.088388905,1.0,0.0037805717,-0.08838743231939389,-30.376865,0.0037643374,,,
CD16+ NK cells,CD16+ NK cells,C3,CD46,-0.013687731,0.99,6.1848266e-05,-0.01368780626158365,-25.780998,-0.00017497958,,,
CD16+ NK cells,CD16+ NK cells,C3,CR1,-0.06784734,1.0,0.0027579854,-0.06785025603621214,-28.21323,0.0017952281,,,
CD16+ NK cells,CD16+ NK cells,C3,ITGAM,0.27511653,0.0,-0.014315211,0.2751169001356936,-25.154339,0.25536248,,,
CD16+ NK cells,CD16+ NK cells,C3,ITGAX,0.08756294,0.0,-0.0049785445,0.0875570448766631,-26.384583,-0.009172252,,,
CD16+ NK cells,CD16+ NK cells,C3,ITGB2,0.4654653,0.0,-0.023791024,0.46546357280613226,-25.088425,0.010978365,,,
CD16+ NK cells,CD16+ NK cells,C3,LRP1,-0.10558988,1.0,0.004636859,-0.10558258201493949,-28.906307,-0.01250401,,,
CD16+ NK cells,CD16+ NK cells,C3,NRP1,-0.029304374,1.0,0.0008392655,-0.02930652472078024,-51.772263,0.00034982592,,,
CD16+ NK cells,CD16+ NK cells,C4A,C5AR2,-0.025064524,1.0,-0.000674433,-0.025067920532870498,-inf,0.0037056096,,,
CD16+ NK cells,CD16+ NK cells,C4A,CR1,-0.049888056,1.0,-0.0012219361,-0.04989095386752741,-inf,0.004504387,,,
CD16+ NK cells,CD16+ NK cells,C4A,NRP1,-0.011345091,0.93,-0.00037183982,-0.011347222552095517,-inf,0.00087774434,,,
CD16+ NK cells,CD16+ NK cells,C4BPA,BMPR2,0.035571035,0.0,-0.0005644855,0.03556893199763899,-inf,0.41805226,,,
CD16+ NK cells,CD16+ NK cells,C4BPA,CD40,-0.059883777,1.0,0.0008110068,-0.059875684886215426,-inf,-0.010042262,,,
CD16+ NK cells,CD16+ NK cells,C4BPA,LRP1,-0.09674702,1.0,0.0013422017,-0.09674029818244725,-inf,0.038625985,,,
CD16+ NK cells,CD16+ NK cells,C5,C5AR1,-0.1340525,1.0,0.00644358,-0.13405305284751287,-26.91422,0.0491042,,,
CD16+ NK cells,CD16+ NK cells,C5,C5AR2,-0.043923974,1.0,0.00163234,-0.04392787128915125,-28.10793,0.0071113943,,,
CD16+ NK cells,CD16+ NK cells,CD55,ADGRE5,0.05985762,0.0,-0.14645453,0.05985843665947255,0.047462374,-0.09664195,,,
CD16+ NK cells,CD16+ NK cells,CD59,CD2,0.059159126,0.0,0.00033518387,0.05915903289287616,-0.19984493,-5.3379583e-05,1.0,,
CD16+ NK cells,CD16+ NK cells,CFP,NCR1,0.29853138,0.0,-0.2573174,0.29855450764851976,0.06485963,0.106991075,,,
CD16+ NK cells,CD16+ NK cells,FCN2,LRP1,-0.09643957,1.0,0.001227653,-0.09643294286804317,-inf,-0.0018984618,,,
